"Fx"	"z"	"Lx"
2.30849234555937e-13	0.055	1.66563425572485e+42
3.01710819631412e-13	0.055	2.17691809750892e+42
2.32800415135249e-13	0.055	1.67971250561924e+42
2.42719937045117e-13	0.055	1.75128430669223e+42
2.37821663590962e-13	0.055	1.71594205366357e+42
2.3145755491394e-13	0.055	1.67002343738575e+42
2.49880197074165e-13	0.055	1.80294735165412e+42
2.47536022830788e-13	0.055	1.78603355538935e+42
2.96626463410585e-13	0.055	2.14023321134932e+42
3.89695475395745e-13	0.055	2.81174912435264e+42
3.44951159706249e-13	0.055	2.48890783313176e+42
3.12029649132153e-13	0.055	2.25137100149399e+42
3.2475642466945e-13	0.055	2.34319783098562e+42
2.95165028168927e-13	0.055	2.12968859505154e+42
2.81843073968681e-13	0.055	2.03356740447531e+42
3.07948978031076e-13	0.055	2.22192795142118e+42
2.68602001395871e-13	0.055	1.93802979482182e+42
2.13272006032239e-13	0.055	1.53881020969285e+42
3.89925293448179e-13	0.055	2.81340731837462e+42
3.87510821219824e-13	0.055	2.795986304782e+42
2.93116216770556e-13	0.055	2.11490591467916e+42
3.90369969912684e-13	0.055	2.81661576891775e+42
3.10802287142312e-13	0.055	2.24251528153292e+42
3.57754650115816e-13	0.055	2.58128817937827e+42
4.78501716130652e-13	0.055	3.4525080897213e+42
3.57784416380105e-13	0.055	2.5815029503285e+42
4.3652456750308e-13	0.055	3.14963259244606e+42
3.95996117479605e-13	0.055	2.85720981348218e+42
4.85490638990831e-13	0.055	3.5029348946831e+42
3.76136574835006e-13	0.055	2.71391830725083e+42
4.39745851778074e-13	0.055	3.17287495426796e+42
5.94623487853579e-13	0.055	4.29035535912735e+42
5.68651906680509e-13	0.055	4.10296398501074e+42
5.91684020176689e-13	0.055	4.26914637368002e+42
5.55444188648065e-13	0.055	4.00766703660582e+42
7.19058265591654e-13	0.055	5.18818302055642e+42
7.44564141630978e-13	0.055	5.37221421708644e+42
8.02522109659569e-13	0.055	5.79039527420073e+42
7.56856255608492e-13	0.055	5.46090485604656e+42
1.05160421728659e-12	0.055	7.58758421333574e+42
1.0163374422485e-12	0.055	7.33312571922209e+42
1.01846808037451e-12	0.055	7.34849879964869e+42
1.07025917965387e-12	0.055	7.72218437528977e+42
1.10468069779891e-12	0.055	7.97054413210994e+42
1.19135138000456e-12	0.055	8.59589451512708e+42
